#gf_id	#species	#genes	ach	ahy	ath	bvu	cqu	ccan	dca
HOM04D005599	51	69	1	1	1	1	1	1	1
HOM04D005644	54	69	1	1	1	1	1	1	1
HOM04D005667	53	68	1	1	1	1	1	1	1
HOM04D005694	50	68	2	1	2	1	1	1	1
HOM04D005829	29	67	0	1	2	1	1	0	1
HOM04D005832	54	67	1	1	1	1	1	1	1
HOM04D005887	52	67	1	1	1	1	1	1	2
HOM04D005888	53	67	0	1	1	1	1	1	1
HOM04D005903	54	67	1	1	1	1	1	1	1
HOM04D005949	54	66	2	1	1	1	1	1	1
HOM04D005998	53	66	1	1	1	1	1	1	0
HOM04D006015	52	66	2	1	1	1	1	1	0
HOM04D006033	54	66	1	1	1	1	1	2	1
HOM04D006052	51	66	0	1	1	1	1	1	1
HOM04D006062	51	65	2	1	1	1	1	1	1
HOM04D006074	51	65	1	1	1	1	1	1	1
HOM04D006077	39	65	1	1	1	1	1	1	1
HOM04D006079	52	65	2	1	1	1	1	1	1
HOM04D006104	51	65	0	1	1	1	1	1	1
HOM04D006126	51	65	2	1	1	1	1	1	1
HOM04D006132	50	65	0	1	1	1	1	1	1
HOM04D006134	51	65	1	1	1	1	1	1	1
HOM04D006179	53	65	2	1	1	1	1	1	1
HOM04D006188	50	65	1	1	1	1	1	1	1
HOM04D006194	46	64	0	1	1	1	1	1	1
HOM04D006216	54	64	0	1	1	1	1	1	1
HOM04D006225	52	64	2	1	1	1	1	1	1
HOM04D006228	53	64	2	1	1	1	1	1	1
HOM04D006252	44	64	0	1	1	1	1	1	0
HOM04D006269	53	64	1	1	1	1	1	1	1
HOM04D006311	51	64	0	1	1	1	1	1	1
HOM04D006314	54	64	1	1	1	1	1	2	1
HOM04D006389	50	63	1	1	1	1	1	1	2
HOM04D006427	47	63	0	1	1	1	1	1	1
HOM04D006436	51	63	2	1	1	1	1	2	1
HOM04D006448	46	63	0	1	2	1	1	1	1
HOM04D006450	53	63	1	1	1	1	1	1	1
HOM04D006459	51	62	0	1	1	1	1	1	1
HOM04D006484	50	62	2	1	1	1	1	1	1
HOM04D006486	45	62	1	1	1	1	1	1	3
HOM04D006487	51	62	1	1	1	1	1	1	2
HOM04D006515	49	62	3	1	1	1	1	1	0
HOM04D006536	47	62	0	1	2	1	1	1	1
HOM04D006544	49	62	1	1	1	1	1	1	1
HOM04D006565	32	61	3	1	0	1	1	0	3
HOM04D006585	48	61	0	1	1	1	1	1	1
HOM04D006593	54	61	2	1	1	1	1	1	1
HOM04D006596	47	61	0	1	1	1	1	1	1
HOM04D006629	43	61	1	1	1	1	1	1	1
HOM04D006630	52	61	2	1	1	1	1	1	1
HOM04D006647	49	61	2	1	1	1	1	1	1
HOM04D006659	47	61	1	1	1	1	1	1	1
HOM04D006695	50	60	0	1	1	1	1	1	1
HOM04D006707	39	60	2	1	0	1	1	1	2
HOM04D006723	49	60	0	1	1	1	1	1	1
HOM04D006727	44	60	0	1	1	1	1	0	1
HOM04D006746	45	60	1	1	1	1	1	1	1
HOM04D006773	53	59	2	1	1	1	1	1	1
HOM04D006780	49	59	3	1	1	1	1	1	1
HOM04D006784	49	59	0	1	2	1	1	1	1
HOM04D006794	53	59	1	1	1	1	1	1	1
HOM04D006802	49	59	1	1	1	1	1	1	1
HOM04D006810	52	59	1	1	1	1	1	1	1
HOM04D006823	40	59	2	1	1	1	1	1	1
HOM04D006824	51	59	0	1	1	1	1	1	1
HOM04D006837	46	59	1	1	3	1	1	1	2
HOM04D006849	47	59	2	1	1	1	1	1	1
HOM04D006853	48	59	2	1	1	1	1	1	1
HOM04D006854	48	59	2	1	1	1	1	1	1
HOM04D006861	53	59	1	1	1	1	1	1	0
HOM04D006867	47	58	1	1	1	1	1	1	1
HOM04D006871	49	58	0	1	1	1	1	1	1
HOM04D006873	50	58	0	1	1	1	1	1	1
HOM04D006885	40	58	2	1	1	1	1	0	2
HOM04D006889	47	58	1	1	0	1	1	1	1
HOM04D006890	48	58	2	1	1	1	1	1	1
HOM04D006891	52	58	0	1	1	1	1	3	1
HOM04D006895	46	58	0	1	1	1	1	1	1
HOM04D006904	52	58	1	1	1	1	1	1	2
HOM04D006925	53	58	1	1	1	1	1	1	1
HOM04D006926	49	58	2	1	1	1	1	1	2
HOM04D006929	49	58	1	1	1	1	1	1	0
HOM04D006956	50	58	1	1	1	1	1	1	1
HOM04D006969	45	57	2	1	1	1	1	1	2
HOM04D006988	43	57	1	1	1	1	1	1	1
HOM04D006993	48	57	0	1	1	1	1	1	1
HOM04D007012	47	57	0	1	1	1	1	1	1
HOM04D007015	38	57	0	1	1	1	1	1	0
HOM04D007026	46	57	0	1	2	1	1	1	1
HOM04D007054	33	57	1	1	0	1	1	1	0
HOM04D007056	51	57	1	1	1	1	1	2	1
HOM04D007057	49	57	0	1	1	1	1	1	2
HOM04D007062	50	57	1	1	1	1	1	1	0
HOM04D007072	50	56	1	1	1	1	1	1	0
HOM04D007080	38	56	0	1	2	1	1	1	1
HOM04D007083	47	56	0	1	1	1	1	1	0
HOM04D007090	50	56	1	1	1	1	1	1	1
HOM04D007099	48	56	2	1	2	1	1	1	1
HOM04D007104	50	56	0	1	1	1	1	1	2
HOM04D007109	48	56	0	1	1	1	1	1	1
HOM04D007110	50	56	1	1	1	1	1	1	0
HOM04D007114	51	56	0	1	1	1	1	1	2
HOM04D007124	49	56	2	1	1	1	1	1	1
HOM04D007138	46	56	2	1	1	1	1	1	2
HOM04D007143	48	56	0	1	1	1	1	1	1
HOM04D007158	43	55	1	1	1	1	1	1	0
HOM04D007161	51	55	1	1	1	1	1	1	1
HOM04D007167	51	55	2	1	1	1	1	1	1
HOM04D007178	47	55	1	1	1	1	1	1	1
HOM04D007194	51	55	1	1	1	1	1	1	1
HOM04D007195	49	55	0	1	1	1	1	1	1
HOM04D007212	48	55	1	1	1	1	1	1	2
HOM04D007231	49	54	1	1	1	1	1	1	1
HOM04D007238	47	54	2	1	1	1	1	1	1
HOM04D007245	46	54	1	1	1	1	1	2	0
HOM04D007256	49	54	0	1	1	1	1	1	1
HOM04D007266	49	54	0	1	1	1	1	2	1
HOM04D007285	49	54	2	1	1	1	1	1	1
HOM04D007308	51	53	1	1	1	1	1	1	1
HOM04D007309	49	53	0	1	1	1	1	1	1
HOM04D007311	30	53	0	1	1	1	1	0	0
HOM04D007314	46	53	2	1	1	1	1	1	1
HOM04D007321	47	53	0	1	1	1	1	1	1
HOM04D007326	46	53	1	1	1	1	1	1	1
HOM04D007330	51	53	1	1	1	1	1	1	1
HOM04D007350	47	52	0	1	1	1	1	1	1
HOM04D007352	40	52	1	1	0	1	1	2	1
HOM04D007358	45	52	1	1	1	1	1	1	1
HOM04D007391	46	52	3	1	1	1	1	1	1
HOM04D007393	35	52	0	1	1	1	1	0	0
HOM04D007395	30	52	1	1	2	1	1	0	2
HOM04D007397	21	52	0	1	2	1	1	0	2
HOM04D007402	48	51	0	1	1	1	1	1	1
HOM04D007405	42	51	2	1	1	1	1	1	0
HOM04D007411	45	51	0	1	1	1	1	1	1
HOM04D007425	46	51	0	1	1	1	1	1	1
HOM04D007426	40	51	1	1	1	1	1	1	0
HOM04D007444	45	51	1	1	1	1	1	1	1
HOM04D007454	46	51	1	1	1	1	1	1	2
HOM04D007468	44	50	1	1	1	1	1	1	0
HOM04D007473	44	50	1	1	1	1	1	1	1
HOM04D007480	42	50	1	1	0	1	1	1	0
HOM04D007504	48	49	1	1	1	1	1	1	1
HOM04D007515	42	49	0	1	1	1	1	1	1
HOM04D007516	39	49	1	1	0	1	1	2	1
HOM04D007520	44	49	1	1	1	1	1	1	1
HOM04D007522	43	49	2	1	1	1	1	1	1
HOM04D007532	45	49	1	1	1	1	1	1	1
HOM04D007534	35	49	2	1	0	1	1	1	3
HOM04D007536	45	49	1	1	1	1	1	1	1
HOM04D007547	40	48	0	1	1	1	1	1	0
HOM04D007556	42	48	0	1	2	1	1	1	0
HOM04D007560	44	48	0	1	1	1	1	1	1
HOM04D007562	26	48	0	1	0	1	1	1	1
HOM04D007563	42	48	0	1	1	1	1	1	0
HOM04D007587	43	47	0	1	1	1	1	1	1
HOM04D007599	43	47	0	1	1	1	1	1	1
HOM04D007622	44	46	0	1	1	1	1	1	1
HOM04D007640	44	46	1	1	1	1	1	1	1
HOM04D007642	38	46	0	1	1	1	1	1	1
HOM04D007668	40	45	0	1	1	1	1	1	1
HOM04D007682	42	45	0	1	1	1	1	1	1
HOM04D007694	33	44	0	1	0	1	1	0	1
HOM04D007696	41	44	2	1	1	1	1	0	0
HOM04D007714	36	44	0	1	2	1	1	1	0
HOM04D007737	36	43	1	1	0	1	1	1	1
HOM04D007749	38	43	1	1	0	1	1	1	1
HOM04D007777	39	42	0	1	1	1	1	1	1
HOM04D007785	36	42	0	1	0	1	1	1	0
HOM04D007790	35	42	0	1	1	1	1	1	0
HOM04D007794	37	42	0	1	1	1	1	2	1
HOM04D007799	33	42	1	1	0	1	1	1	0
HOM04D007878	33	39	1	1	0	1	1	0	0
HOM04D007887	29	39	0	1	0	1	1	0	1
HOM04D007904	34	38	0	1	1	1	1	0	1
HOM04D007907	33	38	2	1	0	1	1	0	1
HOM04D007923	31	38	1	1	1	1	1	1	2
HOM04D007941	33	37	1	1	0	1	1	1	0
HOM04D007946	32	37	2	1	0	1	1	1	1
HOM04D007967	36	37	0	1	1	1	1	1	0
HOM04D008008	32	36	0	1	0	1	1	0	1
HOM04D008010	34	35	0	1	1	1	1	0	1
HOM04D008045	32	35	1	1	0	1	1	0	0
HOM04D008096	29	33	1	1	0	1	1	1	0
HOM04D008146	23	32	0	1	1	1	1	0	0
HOM04D008161	18	32	1	1	0	1	1	0	0
HOM04D008257	25	29	1	1	0	1	1	0	1
HOM04D008433	23	26	0	1	0	1	1	1	1
HOM04D010224	9	11	0	1	1	1	1	0	0
HOM04D011134	8	9	0	1	0	1	1	0	1
HOM04D011207	6	9	0	1	0	1	1	0	0
HOM04D011493	6	8	0	1	0	1	1	0	1
HOM04D017296	4	4	0	1	0	1	1	0	0
HOM04D019559	3	3	0	1	0	1	1	0	0
HOM04D019757	3	3	0	1	0	1	1	0	0
HOM04D019925	3	3	0	1	0	1	1	0	0
HOM04D020042	3	3	0	1	0	1	1	0	0
HOM04D020253	3	3	0	1	0	1	1	0	0
HOM04D020732	3	3	0	1	0	1	1	0	0
HOM04D020884	3	3	0	1	0	1	1	0	0
HOM04D021167	3	3	0	1	0	1	1	0	0
HOM04D021315	3	3	0	1	0	1	1	0	0
HOM04D021606	3	3	0	1	0	1	1	0	0
HOM04D021688	3	3	0	1	0	1	1	0	0
HOM04D021801	3	3	0	1	0	1	1	0	0
HOM04D021858	3	3	0	1	0	1	1	0	0
HOM04D022048	3	3	0	1	0	1	1	0	0
HOM04D022177	3	3	0	1	0	1	1	0	0
HOM04D022195	3	3	0	1	0	1	1	0	0
HOM04D022227	3	3	0	1	0	1	1	0	0
HOM04D022399	3	3	0	1	0	1	1	0	0
HOM04D022690	3	3	0	1	0	1	1	0	0
HOM04D022700	3	3	0	1	0	1	1	0	0
HOM04D022705	3	3	0	1	0	1	1	0	0
HOM04D022768	3	3	0	1	0	1	1	0	0
HOM04D022770	3	3	0	1	0	1	1	0	0
HOM04D023012	3	3	0	1	0	1	1	0	0
HOM04D023864	3	3	0	1	0	1	1	0	0
HOM04D024040	3	3	0	1	0	1	1	0	0
HOM04D024048	3	3	0	1	0	1	1	0	0
HOM04D024447	3	3	0	1	0	1	1	0	0







